,text
6999,ولكنه قبل التوبة، وأقال العثرة، وجعل بالحسنة أضعافها.
7000,واعلم أن الحكم في الآخرة هو الحكم في الدنيا: ميزانٌ قسط، وحكمٌ عدل.
7001,"وقد قال الله تعالى: "" فمن ثقلت موازينه فأولئك هم المفلحون."
7002,"ومن خفت موازينه فأولئك الذين خسروا أنفسهم في جهنم خالدون ""."
7003,وهذا مثلٌ ضربه الله؛ لأن الناس يعلمون أن لو وضع في إحدى كفتي الميزان شيءٌ ولم يك في الأخرى قليلٌ ولا كثير، لم يكن للوزن معنىً يعقل.
7004,وذلك أن أحداً من الخلق لا يخلو من هفوةٍ أو زلة أو غفلة؛ فأخبر أن من كان حسناته الراجحة على سيئاته، مع الندم على السيئات، كان على سبيل النجاة، وطريق الفوز بالإفلاح.
7005,ومن مالت سيئاته كان العطب والعذاب أولى به.
7006,وكذلك حكمه في الدنيا؛ لأنه قد تولى أولياء من خلقه وشهد لهم بالعدالة، وقد عاتبهم في بعض الأمور لغلبة الصلاح في أفعالهم وإن هفوا، وتبرأ من آخرين وعاداهم لغلبة الجور على أفاعيلهم، وإن أحسنوا في بعض الأمور.
7007,وكذلك جرت معاملات الخلق بينهم، يعدلون العادل بالغالب من فعله وربما أساء، ويفسقون الفاسق وربما أحسن.
7008,وإنما الأمور بعواقبها، وإنما يُقضى على كل امرئ بما شاكل أحواله.
7009,فهذه الأمور قائمة في العقول، جرت عليها المعاملة، واستقامت بها السياسة، لا اختلاف بين الأمة فيها.
7010,فلا تغبننَّ حظك من دينك، وإن استطعت أن تبلغ من الطاعة غايتها فلنفسك تُمهِّد، وإلا فاجهد أن يكون أغلب أفعالك عليك الطاعة، مع الندامة عند الإساءة، ويكون ميلك عند الإساءة، إلى الله أكثر.
7011,والله يوفقك.
7012,اعلم أن الله جل ثناؤه خلق خلقه، ثم طبعهم على حب اجترار المنافع، ودفع المضار، وبغض ما كان بخلاف ذلك.
7013,هذا فيهم طبعٌ مركب، وجبلة مفطورة، لا خلاف بين الخلق فيه؛ موجودٌ في الإنس والحيوان، لم يدع غيره مدعٍ من الأولين والآخرين.
7014,وبقدر زيادة ذلك ونقصانه تزيد المحبة والبغضاء؛ فنقصانه كزيادته تميل الطبيعة معهما كميل كفتي الميزان، قل ذلك أو أكثر.
7015,وهاتان جملتان داخلٌ فيهما جميع محابِّ العباد ومكارههم.
7016,والنفس في طبعها حب الراحة والدعة، والازدياد والعلوّ، والعز والغلبة، والاستطراف والتَّنُّوق، وجميع ما تستلذ الحواس من المناظر الحسنة، والروائح العبقة، والطعوم الطيبة، والأصوات المونقة، والملامس اللذيذة.
7017,ومما كراهيته في طباعهم أضداد ما وصفت لك وخلافه.
7018,فهذه الخلال التي تجمعها خلتان غرائز في الفطر، وكوامن في الطبع؛ جبلةٌ ثابتة، وشيمة مخلوقة.
7019,على أنها في بعضٍ أكثر منها في بعضٍ، ولا يعلم قدر القلة فيه والكثرة إلا الذي دبَّرهم.
7020,فلما كانت هذه طبائعهم، أنشأ لهم من الأرض أرزاقهم، وجعل في ذلك ملاذَّ لجميع حواسهم، فتعلقت به قلوبهم، وتطلعت إليه أنفسهم.
7021,فلو تركهم وأصل الطبيعة، مع ما مكن لهم من الأرزاق المشتهاة في طبائعهم، صاروا إلى طاعة الهوى، وذهب التعاطف والتبارُّ.
7022,وإذا ذهبا كان ذلك سبباً للفساد، وانقطاع التناسل، وفناء الدنيا وأهلها؛ لأن طبع النفس لا يسلس بعطية قليل ولا كثير مما حوته، حتى تعوَّض أكثر مما تعطى، إما عاجلاً وإما آجلاً مما تستلذه حواسها.
7023,فعلم الله أنهم لا يتعاطفون ولا يتواصلون ولا ينقادون إلا بالتأديب، وأن التأديب ليس إلا بالأمر والنهي غير ناجعين فيهم إلا بالترغيب والترهيب الذين في طباعهم.
7024,فدعاهم بالترغيب إلى جنته، وجعلها عوضاً مما تركوا في جنب طاعته، وزجرهم بالترهيب بالنار عن معصيته، وخوفهم بعقابها على ترك أمره.
7025,ولو تركهم جل ثناؤه والطباع الأول جروا على سنن الفطرة، وعادة الشيمة.
7026,"ثم أقام الرغبة والرهبة على حدود العدل، وموازين النَّصفة، وعدَّلهم تعديلاً متفقا، فقال: "" فمن يعمل مثقال ذرةٍ خيراً يره."
7027,"ومن يعمل مثقال ذرةٍ شراً يره ""."
7028,"ثم أخبر الله تبارك وتعالى أنه غير داخلٍ في تدبيره الخلل، ولا جائزٌ عنده المحاباة؛ ليعمل كل عاملٍ على ثقةٍ مما وعده وواعده، فتعلقت قلوب العباد بالرغبة والرهبة، فاطرَّد التدبير، واستقامت السياسة، لموافقتهما ما في الفطرة، وأخذهما بمجامع المصلحة، ثم جعل أكثر طاعته فيما تستثقل النفوس، وأكثر معصيته فيما تلذ، ولذلك قال النبي صلى الله عليه وسلم: "" حفت الجنة بالمكاره، والنار بالشهوات ""."
7029,يخبر أن الطريق إلى الجنة احتمال المكاره، والطريق إلى النار اتباع الشهوات، فإذا كانوا لم يصلحوا لخالقهم ولم ينقادوا لأمره إلا بما وصفت لك كم الرغبة والرهبة، فأعجز الناس رأياً وأخطؤهم تدبيراً، وأجهلهم بموارد الأمور ومصادرها، من أمل أو ظن أو رجا أن أن أحداً من الخلق فوقه أو دونه أو من نظرائه يصلح له ضميره، وصح له أو بخلاف ماد برهم الله عليه، فيما بينه وبينهم.
7030,فالرغبة والرهبة أصلا كل تدبير، وعليها مدار كلَ سياسة، عظمت أو صغرت.
7031,فاجعلها مثالك الذي تحتذي عليه، وركنك الذي تستند إليه.
7032,واعلم أنك إن أهملت ما وصفت لك عرضت تدبيرك للاختلاط.
7033,وإن آثرت الهوينا واتكلت على الكفاة في الأمر الذي لا يجوز فيه إلا نظرك، وزجَّيت أمورك على رأي مدخول، وأصلٍ غير محكم، رجع ذلك عليك بما لو حكم فيك عدوك كان ذلك غاية أمنيته، وشفاء غيظه.
7034,واعلم أن إجراءك الأمور مجاريها، واستعمالك الأشياء على وجودها، يجمع لك ألفة القلوب، فيعاملك كل من عاملك بمودةٍ، أو أخذ أو إعطاءٍ، وهو على ثقةٍ من بصرك بمواضع الإنصاف، وعلمك بموارد الأمور.
7035,واعلم أن أثرتك على غير النصيحة والشفقة، والحرمة والكفاية، يوجب لك المباعدة وقلة الثقة ممن آثرته أو آثرت عليه.
7036,فاعرف لأهل البلاء - ممن جرت بينك وبينه مودةٌ أو حرمة، ممن فوقك أو دونك أو نظرائك - أقدارهم ومنازلهم.
7037,ثم لتكن أمورك معهم على قدر البلاء والاستحقاق، ولا تؤثر في ذلك أحداً لهوى؛ فإن الأثرة على الهوى توجب السُّخطة، وتوجب استصغار عظيم النعمة، ويمحق بها الإفضال، وتفسد عليها الطائفتان: من آثرت ومن آثرت عليه.
7038,أما من آثرت فإنه يعلم أنك لم تؤثره باستحقاقٍ بل لهوى، فهو مترقِّبٌ أن ينتقل هواك إلى غيره، فتحول أثرتك حيث مال هواك.
7039,فهو مدخول القلب في مودتك، غير آمنٍ لتغيرك.
7040,وأما من آثرت عليه بعد الاستحقاق منه، فقد جعلت له السبيل إلى الطعن عليك، وأعطيته الحجة على نفسك.
7041,فكل من يعمل على غير ثقةٍ عاد ما أراد به النفع ضرراً، والإصلاح فيه فساداً.
7042,وربما آثر الرجل المرء من إخوانه بالعطية السنية على بلاء أبلاه، فيعظم قدرها عنده حتى لعله تطيب نفسه ببذل ماله ودمه دونه.
7043,فإن أعطى من أبلى كبلائه وكانت له مثل دالته، أكثر مما أعطاه، انتقل كل محمودٍ من ذلك مذموماً، وكل مستحسنٍ مستقبحاً.
7044,وكذلك الأمر في العقوبة، يجريان مجرى واحداً.
7045,فاجعل العدل والنَّصفة في الثواب والعقاب حاكماً بينك وبين إخوانك، فمن قدمت منهم فقدمه على الاستحقاق، وبصحة النية في مودته، وخلوص نصيحته لك مما قد بلوت من أخلاقه وشيمه، وعلمت بتجربتك له، أنه يعلم أن صلاحه موصولٌ بصلاحك، وعطبه كائن مع عطبك، ففوض الأمر إليه، وأشركه في خواص أمورك وخفي أسرارك، ثم اعرف له قدره في مجلسك ومحاورتك ومعاملتك، في كل حالاتك ومزاولاتك في خلواتك معه، وبحضرة جلسائك؛ فإن ذلك زيادة في نيته، وداعيةٌ لمن دونه إلى التقرب إليك بمثل نصيحته.
7046,فإن ابتليت في بعض الأوقات بمن يضرب بحرمة ويمتُّ بدالة، يطلب المكافأة بأكثر مما يستوجب، فدعاك الكرم والحياء إلى تفضيله على من هو أحق منه، إما تخوفاً من لسانه، أو مداراةً لغيره، فلا تدع الاعتذار إلى من فوقه من أهل البلاء والنصيحة وإظهار ما أردت من ذلك لهم؛ فإن أهل خاصتك والمؤتمنين على أسرارك، هم شركاؤك في العيش، فلا تستهينن بشيءٍ من أمورهم؛ فإن الرجل قد يترك الشيء من ذلك اتكالاً على حسن رأي أخيه، فلا يزال ذلك يجرح في القلب وينمو، حتى يولد ضِغناً ويحول عداوة.
7047,فتحفظ من هذا الباب، واحمل إخوانك عليه بجهدك.
7048,وستجد في من يتصل بك من يغلبه إفراط الحرص وحمياً الشره، ولين جانبك له، على أن ينقم العافية، ويطلب الُّلحوق بمنازل من ليس هو مثله، ولا له مثل دالته، فتلقاه لما تصنع به مستقلاً، ولمعرفتك مستصغراً.
7049,وصلاح من كانت هذه حاله بخلاف ما فسد عليه أمره.
7050,فاحفظ هذه الأبواب التي يوجب بعضها بعضاً، وقد ضمنت لك أوائلها كون أواخرها.
7051,فاعرفها واقتبسها، واعلم أنه متى كان الأول منها وجب ما بعده لا بد منه.
7052,فاحذر المقدمات اللاتي يعقبها المكروه، واحرص على توطيد الأمور التي على أثرها السلامة، وألقح في البديِّ الأمور التي نتاجها العافية.
7053,فمن الأمور التي يوجب بعضها بعضاً: المنفعة توجب المحبة، والمضرة توجب البغضاء، والمضادة توجب العداوة، وخلاف الهوى يوجب الاستثقال، ومتابعته توجب الألفة، والصدق يوجب الثقة، والكذب يورث التهمة، والأمانة توجب الطمأنينة، والعدل يوجب اجتماع القلوب، والجور يوجب الفرقة، وحسن الخلق يوجب المودة، وسوء الخلق يوجب المباعدة، والانبساط يوجب المؤانسة، والانقباض يوجب الوحشة، والتكبر يوجب المقت، والتواضع يوجب المقة، والجود بالقصد يوجب الحمد، والبخل يوجب المذمة، والتواني يوجب التضييع، والجد يوجب رخاء الأعمال، والهوينا تورث الحسرة، والحزم يورث السرور، والتغرير يوجب الندامة، والحذر يوجب العذر، وإصابة التدبير توجب بقاء النعمة، والاستهانة توجب التباغي، والتباغي مقدمة الشر وسبب البوار.
7054,ولكل شيء من هذا إفراط وتقصير، وإنما تصح نتائجها إذا أقيمت على حدودها، وبقدر ما يدخل من الخلل فيها يدخل فيما يتولد منها، لا بد منه ولا مزحل عنه، عليه عادة الخلق، وبه جرت طبائعهم، وتمام المنفعة بها إصابة مواضعها: فالإفراط في الجود يوجب التبذير، والإفراط في التواضع يوجب المذلة، والإفراط في الكبر يدعو إلى مقت الخاصة، والإفراط في المؤانسة يدعو خلطاء السوء، والإفراط في الانقباض يوحش ذا النصيحة.
7055,وآفة الأمانة ائتمان الخانة، وآفة الصدق تصديق الكذبة، والإفراط في الحذر يدعو إلى ألا يوثق بأحد؛ وذاك ما لا سبيل إليه.
7056,والإفراط في المضرة مبعثةٌ على حربك، والإفراط في جر المنفعة غناءٌ لمن أفرطت في نفعه عنك.
7057,"واحذر كل الحذر أن يختدعك الشيطان عن الحزم فيمثل لك التواني في صورة التوكل، ويسلبك الحذر، ويورثك الهوينا بإحالتك على الأقدار؛ فإن الله إنما أمر بالتوكل عند انقطاع الحيل، والتسليم للقضاء بعد الإعذار، بذلك انزل كتابه، وأمضى سنته فقال: "" خذوا حذركم ""، "" ولا تلقوا بأيديكم إلى التهلكة ""."
7058,"وقول النبي صلى الله عليه وسلم: "" اعقلها وتوكل ""."
7059,وسُئل ما الحزم؟
7060,فقال: الحذر.
7061,فتحفظ من هذا الباب وأحكم معرفته إن شاء الله تعالى.
7062,"واعلم أن أكثر الأمور إنما هو على العادة وما تضرى عليه النفوس، ولذلك قالت الحكماء: "" العادة أملك بالأدب ""."
7063,فرض نفسك على كل أمرٍ محمود العاقبة، وضرِّها بكل ما لا يذمّ من الأخلاق يصر ذلك طباعاً، وينسب إليك منه أكثر مما أنت عليه.
7064,واعلم أن الذي يوجب لك اسم الجود القيام بواجب الحقوق عند النوائب، مع بعض التفضل على الراغبين.
7065,وإذا أوجب لك اسم الجود زال عنك اسم البخل.
7066,واعلم أن تثمير المال آلةٌ للمكارم، وعونٌ على الدِّين، ومتألَّفٌ للإخوان؛ وأن من فقد المال قلت الرغبة إليه، والرهبة منه؛ ومن لم يكن بموضع رغبةٍ ولا رهبة استهان الناس بقدره.
7067,فاجهد الجهد كله ألا تزال القلوب معلقةً منك برغبة أو رهبةٍ، في دينٍ أو دنيا.
7068,واعلم أن السَّرف لا بقاء معه لكثير، ولا تثمير معه لقليل، ولا تصلح عليه دنيا ولا دين.
7069,"وتأديب بما أدب الله تعالى به نبيه فقال: "" ولا تجعل يدك مغلولةً إلى عنقك ولا تبسطها كل البسط فتقعد ملوماً محسوراً ""."
7070,"وقالت الحكماء: "" القصد أبقى للجمام ""."
7071,وذاك صمتك عند من يعلم أنك لم تصمت عنه عياً ولا رهبة.
7072,فليزدك في الصمت رغبةً ما ترى من كثرة فضائح المتكلمين في غير الفرص، وهذر من أطلق لسانه بغير حاجة.
7073,واعلم أن الجبن جبنان، والشجاعة شجاعتان، وليست تكون الشجاعة إلا في كل أمر لا يدرى ما عاقبته، يخاطر فيه بالأنفس والأموال.
7074,فإذا أردت الحزم في ذلك فلا تشجِّعنَّ نفسك على أمرٍ أبداً إلا والذي ترجو من نفعه في العاقبة أعظم مما تبذل فيه في المستقبل، ثم يكون الرجاء في ذلك أغلب عليك من الخوف.
7075,وها هنا موضعٌ يحتاج فيه إلى النظر: فإن كان ذلك أمراً واجباً في الدِّين، أو خوفاً لعارٍ تسبُّ به الأعقاب فأنت معذورٌ بالمخاطرة فيه بنفسك ومالك.
7076,وإن كان أمراً تعظم منفعته في الدنيا إلا أنك لا تناله إلا بالخطار بمهجة نفسك أو بتعريض كل مالك للتلف، فالإقدام على مثل هذا ليس بشجاعة، ولكن حماقةً بينةً عند الحكماء.
7077,وقد قالت علماء أوائل الناس: لا يرسل السَّاق إلا ممسكاً ساقا.
7078,"وقالوا: "" لا تخرج الأمر كله من يدك وخذ بأحد جانبيه ""."
7079,ثم الشجاعة والجبن في ذلك بقدر الحالات والأوقات.
7080,"واعلم أن أصل ما أنت مستظهر به على عدوك ثلاث خلال: أشرفها: أن تأخذ عليه بالفضل وتبتدئه بالحسنى، فتكون عليه رحمةً ولنفسك ناظراً؛ فإن كثرة الأعداء تنغيصٌ للسرور، وقد قال الله تبارك وتعالى: "" ادفع بالتي هي أحسن فإذا الذي بينك وبينه عداوةٌ كأنه وليٌّ حميم ""."
7081,فإن كان عدوك مما لا يصلح على ذلك فحصن عنه أسرارك، وعم عليه آثار تدبيرك، ولا يطلعن على شيءٍ من مكايدتك له بقولٍ ولا فعل، فيأخذ حذره، ويعرف مواضع عوارك، فإنَّ تحصين الأسرار أخذٌ بأزمة التدبير، والإكثار من الوعيد للأعداء فشل.
7082,ولكن داج عدوك ما داجاك، وأحص معايبه ما لا حاك.
7083,وإن كان ممن يظهر لك العداوة ويكشف لك قناع المحاربة، وكان ممن أعياك استصلاحه بالحلم والأناة، فلتكن في أمره بين حالين: استبطان الحذر منه، والاستعداد له وإظهار الاستهانة به.
7084,ولست مستظهراً عليه بمثل طهارتك من الأدناس، وبراءتك من المعايب.
7085,فلتكن هذه سيرتك في أعدائك.
7086,واعلم أن إشاعة الأسرار فسادٌ في كل وجهٍ من الوجوه، من العدو والصديق.
7087,"وقد رُوي عن رسول الله صلى الله عليه وسلم أنه قال: "" استعينوا على الحوائج بسترها؛ فإن كل ذي نعمة محسود ""."
7088,وإذا أفشيت سرك فجاءت الأمور على غير ما تقدر كان ذلك منك فضلاً من قولك على فعلك.
7089,"وقد قيل في الأمثال: "" من أفشى سره كثر المتآمرون عليه ""."
7090,فلا تضع سرك إلا عند من يضره نشره كما يضرك، وينفعه ستره بحسب ما ينفعك.
7091,واعلم أنك ستصحب من الناس أجناساً متفرقةً حالاتهم، متفاوتةً منازلهم، وكلهم بك إليه حاجة، وكل طائفة تسد عنك كثيراً من المنافع لا يقوم به من فوقها، ولعلهم مجتمعون على نصيحتك والشفقة عليك.
7092,فمنهم من تريد منه الرأي والمشورة، ومنهم من تريده للحفظ والأمانة، ومنهم من تريده للشدة والغلظة، ومنهم من تريده للمهنة.
7093,وكلٌّ يسد مسده على حياله.
7094,"وقد قيل في الحكمة: "" إن الخلال تنفع حيث لا ينفع السيف ""."
7095,ولا تُخلينَّ أحداً منهم - عظم قدره أو صغرت منزلته - من عنايتك وتعهدك بالجزاء على الحسنة، والمعاتبة عند العثرة؛ ليعلموا أنهم منك بمرأى ومسمع.
7096,ثم لا تجوزنَّ بأحدٍ منهم حده، ولا تدخله فيما لا يصلح له، تستقم لك حاله، ويتسق لك أمره.
7097,واعلم أنه سيمر بك في معاملات الناس حالاتٌ تحتاج فيها إلى مداراة أصناف الناس وطبقاتهم، يبلغ بك غاية الفضيلة فيها، وكمال العقل والأدب منها، أن تسالم أهلها وتملك نفسك عن هواها، وتكف من جماحها، بالأمر الذي لا يحرجك في دينك ولا عرضك ولا بدنك، بل يفيدك عزَّ الحلم، وهيبة الوقار.
7098,وهي أمور مختلفة، تجمعها حالٌ واحدة.
7099,منها: أن تأتي محفلاً فيه جمعٌ من الناس، فتجلس منه دون للوضع الذي تستحقه حتى يكون أهله الذين يرفعونك، فتظهر جلالتك وعظم قدرك.
7100,ومنها: أن يفيض القوم في حديثٍ، عندك منه مثل ما عندهم أو أفضل، فيتنافسون في إظهار ما عندهم، فإن نافستهم كنت واحداً منهم، وإن أمسكت اقتضوك ذلك، فصرت كأنك ممتنٌّ عليهم بحديثك، وأنصتوا لك ما لم ينصتوا لغيرك.
7101,ومنها: أن يتمارى جلساؤك - والمراء نتاج اللجاجة وثمرةٌ أصلها الحمية - فإن ضبطت نفسك كان تحاكمهم إليك، ومعولهم عليك.
7102,واعلم أن طبع النفوس - إذ كان على حسب العلو والغلبة - أن في تركيبها بغض من استطال عليها.
7103,فاستدع محبة العامة بالتواضع، ومودة الأخلاء بالمؤانسة والاستشارة، والثقة والطمأنينة.
7104,واعلم أن الذي تُعامل به صديقك هو ضد ما تعامل به عدوك.
7105,فالصديق وجه معاملته المسالمة، والعدو وجه معاملته المداراة والمواربة، هما ضدان يتنافيان، يفسد هذا ما أصلح هذا، وكلما نقصت من أحد البابين زاد في صاحبه، إنْ قليلٌ فقليل، وإن كثيرٌ فكثير.
7106,فلا تسلم بالمواربة صداقةٌ، ولا تظفر بالعدو مع الاستسلام إليه.
7107,فضع الثقة موضعها، وأقم الحذر مقامه، وأسرع إلى التفهم بالثقة، ولا تبادر إلى التصديق، ولا سيَّما بالمحال من الأمور.
7108,واعلم أن كل علمٍ بغائبٍ، كائناً ما كان، إنما يصاب من وجوهٍ ثلاثة لا رابع لها، ولا سبيل لك ولا لغيرك إلى غاية الإحاطات؛ لاستئثار الله بها.
7109,ولن تهنأ بعيشٍ مع شدة التحرز، ولن يتسق لك أمرٌ مع التضييع.
7110,فاعرف أقدار ذلك.
7111,فما غاب عنك مما قد رآه غيرك مما يدرك بالعيان، فسبيل العلم به الأخبار المتواترة، التي يحملها الوليُّ والعدوُّ، والصالح والطالح، المستفيضة في الناس، فتلك لا كلفة على سامعها من العلم بتصديقها.
7112,فهذا الوجه يستوي فيه العالم والجاهل.
7113,وقد يجيء خبرٌ أخصُّ من هذا إلا أنه لا يُعرف إلا بالسؤال عنه، والمفاجأة لأهله، كقوم نقلوا خبراً، ومثلك يحيط علمه أن مثلهم في تفاوت أحوالهم، وتباعدهم من التعارف، لا يمكن في مثله التواطؤ وإن جهل ذلك أكثر الناس.
7114,وفي مثل هذا الخبر يمتنع الكذب، ولا يتهيأ الاتفاق فيه على الباطل.
7115,وقد يجيء خبرٌ أخصُّ من هذا، يحمله الرجل والرجلان ممن يجوز أن يَصدق ويجوز أن يكذب، فصدق هذا الخبر في قلبك إنما هو بحسن الظن بالمخبر، والثقة بعدالته.
7116,ولن يقوم هذا الخبر من قلبك ولا قلب غيرك مقام الخبرين الأولين أبداً.
7117,ولو كان ذلك كذلك بطل التصنع بالدِّين واستوى الظاهر والباطن من العالمين.
7118,ولما أن كان موجوداً في العقول أنه قد يفتش بعض الأمناء عن خيانةٍ، وبعض الصادقين عن كذبٍ، وأن مثل الخبرين الأولين لم يتعقب الناس في مثلهما كذباً قطُّ، علم أن الخبر إذا جاء من مثلهما جاء مجيء اليقين، وأن ما علم من خبر الواحد فإنما هو بحسن الظن والإئتمان.
7119,فهذه الأخبار عن الأمور التي تدركها الأبصار.
7120,فأما العلم بما غاب مما لا يدركه أحدٌ بعيان، مثل سرائر القلوب وما أشبهما، فإنما يدرك علمها بآثار أفاعيلها وبالغالب من أمورها، على غير إحاطة كإحاطة الله بها.
7121,وأول العلم بكل غائبٍ الظنون، والظنون إنما تقع في القلوب بالدلائل، فكلما زاد الدليل قوي الظنُّ حتى ينتهي إلى غاية تزول معها الشكوك عن القلوب؛ وذلك لكثرة الدلائل، ولترادفها.
7122,فهذا غاية علم العباد بالأمور الغائبة.
7123,فمن عرف ما طبع عليه الخلق وجرت به عاداتهم، وعرف أسباب اتصالهم واتصاله بهم، وتقصى علل ذلك، كان خليقاً - إن لم يحط بعلم ما في قلوبهم - أن يقع من الإحاطة قريباً.
7124,واعلم أن المقادير ربما جرت بخلاف ما تقدِّر الحكماء، فنال بها الجاهل في نفسه، المختلط في تدبيره، ما لا ينال الحازم الأريب الحذر.
7125,فلا يدعونك ما ترى من ذلك إلى التضييع والاتكال على مثل تلك الحال؛ فإن الحكماء قد أجمعت أن من أخذ بالحزم وقدم الحذر، فجاءت المقادير بخلاف ما قدر، كان عندهم أحمد رأياً وأوجب عذراً، ممن عمل بالتفريط وإن اتفقت له الأمور على ما أراد.
7126,ولعمري ما يكاد ذلك يجيء إلا في أقل الأمور، وما كثر مجيءٌ السلامات إلا لمن أتى الأمور من وجوهها وإنما الأشياء بعوامها.
7127,فلا تكونن لشيءٍ مما في يدك أشد ضناً، ولا عليه أشد حدباً، منك بالأخ الذي قد بلوته في السراء والضراء، فعرفت مذاهبه وخبرت شيمه، وصح لك غيبه، وسلمت لك ناحيته؛ فإنما هو شقيق روحك وباب الروح إلى حياتك، ومستمد رأيك وتوأم عقلك.
7128,ولست منتفعاً بعيشٍ مع الوحدة.
7129,ولا بد من المؤانسة، وكثرة الاستبدال تهجم بصاحبه على المكروه.
7130,"فإذا صفا لك أخٌ فكن به أشد ضناً منك بنفائس أموالك، ثم لا يزهدنك فيه أن ترى منه خلقاً أو خلقين تكرههما؛ فإن نفسك التي هي أخص النفوس بك لا تعطيك المقادة في كل ما تريد، فكيف بنفس غيرك! وبحسبك أن يكون لك من أخيك أكثره، وقد قالت الحكماء: "" من لك بأخيك كله ""، و "" أي الرجال المهذب ""."
7131,ثم لا يمنعك ذلك من الاستكثار من الأصدقاء فإنهم جندٌ معدُّون لك ينشرون محاسنك، ويحاجون عنك.
7132,ولا يحملنك استطراف صديق ثانٍ على ملالةٍ للصديق الأول؛ فأن ذلك سبيل أهل الجهالة، مع ما فيها من الدناءة وسوء التدبير، وزهد الأصدقاء جميعاً في إخائك.
7133,والله يوفقك.
7134,وستجد في الناس من قد جربته الرجال قبلك، ومحضه اختبارهم لك.
7135,فمن كان معروفاً بالوفاء في أوقات الشدة وحالات الضرورة، فنافس فيه واسبق إليه؛ فإن اعتقاده أنفس العقد.
7136,ومن بلاه غيرك فكشف عن كفر النعمة، والغدر عند الشدة، فقد حذرك نفسه وإن آنسك وكما غدر بغيرك يغدر بك؛ فإن من شيمته الوفاء يفي للصديق والعدو، ومن طبيعته الغدر لا يفي لأحد، وإنما يميل مع الرجحان: يذل عند الحاجة ويشمخ مع الاستغناء.
7137,فاحذر ذلك أشد الحذر.
7138,واعلم أن الحكماء لم تذم شيئاً ذمها أربع خلال: الكذب فإنه جماع كل شر.
7139,وقد قالوا: لم يكذب أحدٌ قطُّ إلا لصغر قدر نفسه عنده.
7140,والغضب فإنه لؤمٌ وسوءُ مقدرة؛ وذاك أن الغضب ثمرةٌ لخلاف ما تهوى النفس، فإن جاء الإنسان خلاف ما يهوى ممن فوقه أغضى وسمى ذلك حزناً، وإن جاءه ذلك ممن دونه حمله لؤم النفس وسوء الطباع على الاستطالة بالغضب، والمقدرة والبسطة على البطش.
7141,والجزع عند المصيبة التي لا ارتجاع لها؛ فإنهم لم يجعلوا لصاحب الجزع في مثل هذا عذراً، لما يتعجل من غم الجزع مع علمه بفوت المجزوع عليه.
7142,وزعموا أن ذلك من إفراط الشره، وأن أصل الشره والحسد واحدٌ وإن افترق فرعاهما.
7143,وذموا الحسد كذمهم الجزع، لما يتعجل صاحبه من ثقل الاغتمام، وكلفة مقاساة الاهتمام، من غير أن يجدي عليه شيئاً.
7144,فالحسد اغتمام، والغدر لؤم.
7145,"وقال بعض الحكماء: "" الحسد خلقٌ دنيء، ومن دناءته أنه يبدأ بالأقرب فالأقرب ""."
7146,وزعموا أنه لم يغدر غادرٌ قط إلا لصغر همته عن الوفاء، وخمول قدره عن احتمال المكاره في جنب نيل المكارم.
7147,وبقدر ما ذمت الحكماء هذه الأخلاق الأربعة، فكذلك حمدت أضدادها من الأخلاق، فأكثرت في تفضيلها الأقاويل، وضربت فيها الأمثال، وزعمت أنها أصلٌ لكل كرم، وجماعٌ لكل خير، وأن بها تنال جسام الأمور في الدنيا والدين.
7148,فاجعل هذه الأخلاق إماماً لك، ومثلاً بين عينيك، ورُضْ عليها نفسك، وحكمها في أمرك، تفز بالراحة في العاجل، والكرامة في الآجل.
7149,والصبر صبران: فأعلاهما أن تصبر على ما ترجو فيه الغنم في العاقبة.
7150,والحلم حلمان: فأشرفهما حلمك عمن هو دونك.
7151,والصدق صدقان: أعظمهما صدقك فيما يضرُّك.
7152,والوفاء وفاءان: أسناهما وفاؤك لمن لا ترجوه ولا تخافه.
7153,فإن من عرف بالصدق صار الناس له أتباعاً، ومن نسب إلى الحلم ألبس ثوب الوقار والهيبة وأبهة الجلالة، ومن عرف بالوفاء استنامت بالثقة به الجماعات ومن استعز بالصبر نال جسيمات الأمور.
7154,ولعمري ما غلطت الحكماء حين سمتها أركان الدين والدنيا.
7155,فالصدق والوفاء توأمان، والصبر والحلم توأمان، فهن تمام كل دين، وصلاح كل دنيا.
7156,وأضدادهن سبب كل فرقة، وأصل كل فساد.
7157,واحذر خصلة رأيت الناس قد استهانوا بها، وضيعوا النظر فيها، مع اشتمالها على الفساد، وقدحها البغضاء في القلوب، والعداوة بين الأوداء: المفاخرة بالأنساب؛ فإنه لم يغلط فيها عاقلٌ قط، مع اجتماع الإنس جميعاً على الصورة وإقرارهم جميعاً بتفرق الأمور المحمودة والمذمومة من الجمال والدمامة، واللؤم والكرم، والجبن والشجاعة، في كل حين، وانتقالهما من أمةٍ إلى أمة، ووجود كل محمود ومذموم في أهل كل جنسٍ من الآدميين.
7158,وهذا غير مدفوع عند الجميع.
7159,فلا تجعلن له من عقلك نصيباً، ولا من لسانك حظاً، تسلم بذلك على الناس أجمعين، مع السلامة في الدين.
7160,واعلم أنك موسومٌ بسيما من قارنت، ومنسوبٌ إليك أفاعيل من صاحبت.
